ID Consumidor	Gênero	Estado civil	Pets	Bairro
3	F	Casado(a)	1	Cajati
8	F	Casado(a)	2	Registro
9	F	Casado(a)	5	Registro
20	F	Solteiro(a)	2	Miracatu
24	F	Solteiro(a)	1	Registro
26	F	Solteiro(a)	1	Registro
28	F	Solteiro(a)	1	Cajati
30	F	Solteiro(a)	4	Miracatu
32	F	Solteiro(a)	2	Registro
36	F	Solteiro(a)	1	Miracatu
39	F	Casado(a)	4	Cajati
41	F	Solteiro(a)	1	Miracatu
42	F	Casado(a)	3	Registro
43	F	Solteiro(a)	2	Cajati
44	F	Solteiro(a)	1	Registro
45	F	Solteiro(a)	5	Cajati
47	F	Casado(a)	1	Iguape
48	F	Casado(a)	1	Iguape
49	F	Solteiro(a)	4	Cajati
52	F	Solteiro(a)	3	Registro
55	F	Casado(a)	3	Miracatu
57	F	Solteiro(a)	3	Registro
59	F	Casado(a)	5	Registro
60	F	Solteiro(a)	3	Registro
62	F	Casado(a)	1	Cajati
64	F	Solteiro(a)	4	Miracatu
71	F	Solteiro(a)	5	Iguape
75	F	Solteiro(a)	3	Cajati
76	F	Solteiro(a)	1	Miracatu
77	F	Solteiro(a)	2	Registro
79	F	Solteiro(a)	2	Cajati
80	F	Solteiro(a)	1	Miracatu
81	F	Solteiro(a)	2	Miracatu
87	F	Solteiro(a)	4	Registro
91	F	Casado(a)	1	Cajati
93	F	Casado(a)	5	Cajati
96	F	Solteiro(a)	1	Miracatu
99	F	Solteiro(a)	3	Miracatu
102	F	Casado(a)	2	Iguape
104	F	Casado(a)	1	Miracatu
105	F	Casado(a)	3	Miracatu
109	F	Solteiro(a)	2	Registro
110	F	Solteiro(a)	3	Registro
112	F	Casado(a)	4	Registro
114	F	Solteiro(a)	3	Iguape
115	F	Solteiro(a)	3	Cajati
117	F	Casado(a)	3	Cajati
118	F	Solteiro(a)	2	Miracatu
119	F	Solteiro(a)	4	Registro
121	F	Solteiro(a)	5	Registro
125	F	Casado(a)	2	Cajati
126	F	Solteiro(a)	2	Cajati
127	F	Solteiro(a)	1	Cajati
128	F	Solteiro(a)	1	Cajati
131	F	Solteiro(a)	3	Miracatu
133	F	Casado(a)	1	Registro
